C�DIGO,DESCRIPCI�N,,,A�O,LADO,ARRIBA,MEDIO,ABAJO,COSTADO
1000,TOYOTA CAMRY AUTO 4 PUERTAS /PEGADO,1991,1980,91,A,110,83.5,142,78
1000,TOYOTA AUTO MR II 2 PUERTAS/PEGADO,1992,1980,92,A,112,76.5,155,65
1000,"TOYOTA STARLET AUTO 4 PUERTAS Y 2 PUERTAS P/REDONDA, CORTE AL MEDIO ABAJO/PEGADO",1998,1980,98,B,105,79,140.5,74
1000,TOYOTA LEVIN AUTO 2 PUERTAS P/ESQ./PEGADO,1991,1992,91-92,,109,79,145,76
1000,TOYOTA CELICA AUTO 2 PUERTAS P/REDONDA/PEGADO,1995,1997,95-97,B,108,79.5,140,73
1000,TOYOTA MARK II  CERES AUTO 4 PUERTAS P/REDONDA/PEGADO,1992,1980,92,,,,,
1000,TOYOTA CARINA AUTO 4 PUERTAS P/REDONDA/PEGADO,1993,1980,93,A,107,85,141,76
1000,TOYOTA LAND CRUISER CAMIONETA/GOMA,1999,2000,99-2000,,127,61,142,
1000,"TOYOTA YARIS AUTO, TOYOTA PLATZ, 4 PUERTAS P/ESQ. ",2000,1980,2000,B,106.5,85,135,79
1000,TOYOTA VISTA AUTO 4PUERTAS ALETA IZQUIERDA/PEGADO,1992,1980,92,B,108,82,145,76/79
1000,TOYOTA CROWN AUTO 4 PUERTAS/PEGADO,1997,1980,97,,,,,
1000,"TOYOTA MARINO AUTO 4 PUERTAS, P/REDONDA/PEGADO.",1993,1995,93-95,B,103,80,147,74
1000,TOYOTA PREVIA FURGONETA LAMINADO/PEGADO,1991,1992,91-92,B,116/133,101/102,155/167,95chico
1000,"TOYOTA CAMRY AUTO X2E Y VAGONETA USA 4 PUERTAS, P/ESQ. /PEGADO",1994,1980,94,A,118,76.5,148,73
1000,TOYOTA CRESSIDA AUTO 4 PUERTAS/PEGADO,1995,1980,95,,,,,
1000,"TOYOTA HIACE MINIBUS, P/REDONDA/PEGADO",1900,1980,,A/B,134,78.5,148,
1000,"TOYOTA HIACE MINIBUS, P/REDONDA/PEGADO",1900,1980,,A/B,,,,
1000,TOYOTA RAV ADVANTAGE JEEP VAGONETA P/ESQ. /PEGADO,2001,1980,2001,B,120,82,150,74.5
1000,TOYOTA DYNA CAMIONETA 4000 P/REDONDA/GOMA,2003,1980,2003,A,170,76.5,182,67
1000,TOYOTA LAND CRUISER PRADOP/ESQ./PEGADO,2004,1980,2004,A,127,75.5,144.5,75.5
1000,TOYOTA COROLLA 4 PUERTAS P/ESQ./PEGADO,2004,1980,2004,A,110,88.5,140,86
1000,TOYOTA RUNNER VAGONETA P/ESQ./PEGADO,2004,1980,2004,B,124.5,73,151.5,73
1000,TOYOTA TUNDRA VAGONETA P/ESQ./PEGADO,2004,1980,2004,B,135,74.5,160,72
